exp1_name,exp2_name,k,final_MkNN
mlp_5_256_muon,mlp_5_256_adam,97,0.2723298668861389
mlp_5_256_muon,mlp_5_256_adam,98,0.2735816240310669
mlp_5_256_muon,mlp_5_256_adam,99,0.2749292850494385
mlp_5_256_muon2,mlp_5_256_adam2,1,0.019999999552965164
mlp_5_256_muon2,mlp_5_256_adam2,2,0.024000000208616257
mlp_5_256_muon2,mlp_5_256_adam2,3,0.03766666725277901
mlp_5_256_muon2,mlp_5_256_adam2,4,0.0442500002682209
mlp_5_256_muon2,mlp_5_256_adam2,5,0.04880000278353691
mlp_5_256_muon2,mlp_5_256_adam2,6,0.054999999701976776
mlp_5_256_muon2,mlp_5_256_adam2,7,0.06071428582072258
mlp_5_256_muon2,mlp_5_256_adam2,8,0.06724999845027924
mlp_5_256_muon2,mlp_5_256_adam2,9,0.07288889586925507
mlp_5_256_muon2,mlp_5_256_adam2,10,0.07640000432729721
mlp_5_256_muon2,mlp_5_256_adam2,11,0.0814545527100563
mlp_5_256_muon2,mlp_5_256_adam2,12,0.08649999648332596
mlp_5_256_muon2,mlp_5_256_adam2,13,0.09107693284749985
mlp_5_256_muon2,mlp_5_256_adam2,14,0.09521429240703583
mlp_5_256_muon2,mlp_5_256_adam2,15,0.09973334521055222
mlp_5_256_muon2,mlp_5_256_adam2,16,0.10618750005960464
mlp_5_256_muon2,mlp_5_256_adam2,17,0.11047059297561646
mlp_5_256_muon2,mlp_5_256_adam2,18,0.11438889056444168
mlp_5_256_muon2,mlp_5_256_adam2,19,0.11863158643245697
mlp_5_256_muon2,mlp_5_256_adam2,20,0.12205000221729279
mlp_5_256_muon2,mlp_5_256_adam2,21,0.1251428723335266
mlp_5_256_muon2,mlp_5_256_adam2,22,0.12881816923618317
mlp_5_256_muon2,mlp_5_256_adam2,23,0.13252173364162445
mlp_5_256_muon2,mlp_5_256_adam2,24,0.13579167425632477
mlp_5_256_muon2,mlp_5_256_adam2,25,0.13927999138832092
mlp_5_256_muon2,mlp_5_256_adam2,26,0.14326922595500946
mlp_5_256_muon2,mlp_5_256_adam2,27,0.1464444398880005
mlp_5_256_muon2,mlp_5_256_adam2,28,0.15003570914268494
mlp_5_256_muon2,mlp_5_256_adam2,29,0.15272413194179535
mlp_5_256_muon2,mlp_5_256_adam2,30,0.15573333203792572
mlp_5_256_muon2,mlp_5_256_adam2,31,0.1584838628768921
mlp_5_256_muon2,mlp_5_256_adam2,32,0.16112500429153442
mlp_5_256_muon2,mlp_5_256_adam2,33,0.16469697654247284
mlp_5_256_muon2,mlp_5_256_adam2,34,0.16735294461250305
mlp_5_256_muon2,mlp_5_256_adam2,35,0.17028571665287018
mlp_5_256_muon2,mlp_5_256_adam2,36,0.17347222566604614
mlp_5_256_muon2,mlp_5_256_adam2,37,0.1759459525346756
mlp_5_256_muon2,mlp_5_256_adam2,38,0.1787368506193161
mlp_5_256_muon2,mlp_5_256_adam2,39,0.18115386366844177
mlp_5_256_muon2,mlp_5_256_adam2,40,0.18392501771450043
mlp_5_256_muon2,mlp_5_256_adam2,41,0.18648779392242432
mlp_5_256_muon2,mlp_5_256_adam2,42,0.1885238140821457
mlp_5_256_muon2,mlp_5_256_adam2,43,0.19060465693473816
mlp_5_256_muon2,mlp_5_256_adam2,44,0.19300000369548798
mlp_5_256_muon2,mlp_5_256_adam2,45,0.19555556774139404
mlp_5_256_muon2,mlp_5_256_adam2,46,0.19839131832122803
mlp_5_256_muon2,mlp_5_256_adam2,47,0.20127660036087036
mlp_5_256_muon2,mlp_5_256_adam2,48,0.20377084612846375
mlp_5_256_muon2,mlp_5_256_adam2,49,0.20595918595790863
mlp_5_256_muon2,mlp_5_256_adam2,50,0.20941999554634094
mlp_5_256_muon2,mlp_5_256_adam2,51,0.21139216423034668
mlp_5_256_muon2,mlp_5_256_adam2,52,0.21394230425357819
mlp_5_256_muon2,mlp_5_256_adam2,53,0.2161698043346405
mlp_5_256_muon2,mlp_5_256_adam2,54,0.21796296536922455
mlp_5_256_muon2,mlp_5_256_adam2,55,0.22010909020900726
mlp_5_256_muon2,mlp_5_256_adam2,56,0.22257143259048462
mlp_5_256_muon2,mlp_5_256_adam2,57,0.2249298393726349
mlp_5_256_muon2,mlp_5_256_adam2,58,0.22720691561698914
mlp_5_256_muon2,mlp_5_256_adam2,59,0.22944067418575287
mlp_5_256_muon2,mlp_5_256_adam2,60,0.2318500131368637
mlp_5_256_muon2,mlp_5_256_adam2,61,0.23386885225772858
mlp_5_256_muon2,mlp_5_256_adam2,62,0.23558062314987183
mlp_5_256_muon2,mlp_5_256_adam2,63,0.23746034502983093
mlp_5_256_muon2,mlp_5_256_adam2,64,0.23984375596046448
mlp_5_256_muon2,mlp_5_256_adam2,65,0.24146154522895813
mlp_5_256_muon2,mlp_5_256_adam2,66,0.2434999942779541
mlp_5_256_muon2,mlp_5_256_adam2,67,0.24543282389640808
mlp_5_256_muon2,mlp_5_256_adam2,68,0.2473382204771042
mlp_5_256_muon2,mlp_5_256_adam2,69,0.24947823584079742
mlp_5_256_muon2,mlp_5_256_adam2,70,0.25127145648002625
mlp_5_256_muon2,mlp_5_256_adam2,71,0.25319719314575195
mlp_5_256_muon2,mlp_5_256_adam2,72,0.2554861009120941
